country_name,wbcode,year,gdp_capita,lp_bl,lh_bl,tradewb,mortnew,ginv,dem,unrestreg,pop
Albania,ALB,2000,1200.137451171875,22.747116088867188,7.427882194519043,51.164398193359375,25.299999237060547,24.735868453979492,1,0.11538461595773697,3089027
Albania,ALB,2005,1525.7236328125,16.925458908081055,7.2941694259643555,65.57957458496094,19.799999237060547,23.596435546875,1,0.18518517911434174,3011487
Albania,ALB,2010,1914.99658203125,13.000304222106934,7.586724758148193,85.93754577636719,16.100000381469727,25.791900634765625,1,0.11538461595773697,2913021
Argentina,ARG,2000,7695.59423828125,49.84011459350586,11.08124828338623,22.54189682006836,18,16.192649841308594,1,0.6000000238418579,37057453
Argentina,ARG,2005,8107.9755859375,46.226741790771484,10.179471015930176,43.438232421875,15.300000190734863,21.455936431884766,1,0.3333333432674408,39145491
Argentina,ARG,2010,10749.4189453125,41.07355880737305,10.923741340637207,37.708839416503906,13.300000190734863,22.002246856689453,1,0.1428571492433548,41222875
Armenia,ARM,2000,621.4248046875,8.193975448608398,20.35655403137207,73.17743682861328,26.5,18.64358139038086,1,0.11538461595773697,3076098
Armenia,ARM,2005,1109.0338134765625,6.678208351135254,19.754688262939453,74.111602783203125,20.799999237060547,30.46632194519043,1,0.18518517911434174,3014917
Armenia,ARM,2010,1326.74169921875,5.231052398681641,19.760873794555664,63.834495544433594,16.200000762939453,33.36857986450195,1,0.11538461595773697,2963496
Australia,AUS,2000,21766.173828125,4.881838321685791,27.731761932373047,39.96693420410156,5.099999904632568,25.968034744262695,1,0.043478261679410934,19153000
Australia,AUS,2005,24008.658203125,4.270017623901367,30.889625549316406,37.73965072631836,4.699999809265137,27.421247482299805,1,0.17391304671764374,20394800
Australia,AUS,2010,25249.986328125,3.3851876258850098,33.75717544555664,41.73237991333008,4.199999809265137,27.22502326965332,1,0.17391304671764374,22031750
Austria,AUT,2000,23974.18359375,30.3659610748291,11.541255950927734,87.086944580078125,4.599999904632568,24.529281616210938,1,0.043478261679410934,8011566
Austria,AUT,2005,25370.466796875,25.4865665435791,15.95592212677002,101.54496765136719,4,22.7106876373291,1,0.17391304671764374,8227829
Austria,AUT,2010,26692.984375,22.20262336730957,14.31997013092041,99.66526794433594,3.5,21.601512908935547,1,0.17391304671764374,8363404
Burundi,BDI,2000,111.23686981201172,24.531715393066406,0.5605722069740295,22.282915115356445,92.0999984741211,2.89815354347229,0,0.18421052396297455,6767073
Burundi,BDI,2005,108.90238189697266,30.713729858398438,0.5973966121673584,32.82586669921875,83.5999984741211,8.659894943237305,1,0.2368421107530594,7934213
Burundi,BDI,2010,115.30599212646484,35.61254119873047,0.8809182643890381,52.04011917114258,71.0999984741211,18.00299644470215,1,0.31578946113586426,9461117
Belgium,BEL,2000,22696.966796875,25.379789352416992,22.76315689086914,143.9365234375,4.699999809265137,22.575958251953125,1,0.043478261679410934,10251250
Belgium,BEL,2005,24027.951171875,19.751232147216797,26.750146865844727,149.7012176513672,4,21.932209014892578,1,0.17391304671764374,10478617
Belgium,BEL,2010,24496.048828125,17.742414474487305,25.91053581237793,149.9757537841797,3.5,20.565813064575195,1,0.17391304671764374,10895586
Benin,BEN,2000,345.9503479003906,16.100000381469727,2.200000047683716,60.57268524169922,90.80000305175781,18.665563583374023,1,0.18421052396297455,6949366
Benin,BEN,2005,357.25006103515625,17.599519729614258,2.314480781555176,50.20416259765625,75.69999694824219,18.156574249267578,1,0.2368421107530594,8182362
Benin,BEN,2010,377.0397033691406,17.47971534729004,2.9166781902313232,40.213626861572266,62.29999923706055,21.043237686157227,1,0.31578946113586426,9509798
Bangladesh,BGD,2000,363.6399230957031,22.30518913269043,4.208649158477783,32.638755798339844,64.19999694824219,23.023971557617188,1,0,131280739
Bangladesh,BGD,2005,436.68817138671875,22.51311492919922,4.408099174499512,37.394737243652344,51.400001525878906,24.52721405029297,1,0.20000000298023224,142929979
Bangladesh,BGD,2010,558.0628662109375,22.819154739379883,4.444648265838623,44.95857238769531,37.5,24.41374969482422,1,0.20000000298023224,151616777
Bulgaria,BGR,2000,1579.3482666015625,38.215858459472656,18.37601089477539,111.03876495361328,17.899999618530273,17.979759216308594,1,0.11538461595773697,8170172
Bulgaria,BGR,2005,2176.63671875,33.799983978271484,17.929182052612305,103.92906188964844,13.600000381469727,27.552091598510742,1,0.18518517911434174,7739900
Bulgaria,BGR,2010,2549.55859375,29.05435562133789,17.661544799804688,113.751220703125,11.300000190734863,22.887147903442383,1,0.11538461595773697,7395599
Bahrain,BHR,2000,12489.4677734375,18.804306030273438,11.212974548339844,152.40020751953125,10.899999618530273,10.293970108032227,0,0.1666666716337204,666855
Bahrain,BHR,2005,14775.6328125,16.39536476135254,11.55752182006836,172.2527313232422,9.699999809265137,24.41660499572754,0,0.2777777910232544,867014
Belize,BLZ,2000,3330.95458984375,62.55802536010742,7.619199275970459,120.35844421386719,21.100000381469727,31.721288681030273,1,0.1111111119389534,247312
Belize,BLZ,2005,3706.489013671875,62.036190032958984,7.961726665496826,113.22625732421875,18.299999237060547,19.54631233215332,1,0.0555555559694767,283279
Bolivia,BOL,2000,1010.9073486328125,37.81724166870117,14.077719688415527,45.562103271484375,57.5,18.143478393554688,1,0.6000000238418579,8339512
Bolivia,BOL,2005,1069.018310546875,35.43038558959961,15.4850435256958,61.87401580810547,44.5,14.253622055053711,1,0.3333333432674408,9125405
Bolivia,BOL,2010,1232.794189453125,28.975927352905273,17.478914260864258,74.09190368652344,35.29999923706055,17.00701904296875,1,0.1428571492433548,9918245
