record_id,municipality_name,construction_cost,units,fees,square_feet,volume
92013246,CRANBURY,150500,1,3225,3198,89544
92013250,CRANBURY,320000,1,1403,3316,29660
92013270,CRANBURY,150500,1,1963,2272,42789
92013272,CRANBURY,150500,1,2400,3057,57826
92013276,CRANBURY,150000,1,2796,3169,69664
92013278,CRANBURY,150500,1,2568,3293,62854
92013280,CRANBURY,150500,1,3164,3198,89544
92013289,CRANBURY,150500,1,3382,3106,88521
92013303,CRANBURY,150500,1,2784,3169,69644
92013305,CRANBURY,150500,1,2576,3293,62859
92013307,CRANBURY,150500,1,2450,3103,57826
92013309,CRANBURY,150500,1,2201,2919,54002
92013311,CRANBURY,150500,1,2184,2432,44492
92013315,CRANBURY,150500,1,2576,3293,62859
92013317,CRANBURY,150500,1,1920,2272,42784
92013319,CRANBURY,150500,1,2560,3293,62859
92013321,CRANBURY,150250,1,2700,3169,69644
92013323,CRANBURY,150500,1,2438,3057,57826
92013362,CRANBURY,150500,1,2458,3126,57826
92013364,CRANBURY,150500,1,2458,3037,57826
92013366,CRANBURY,150500,1,1912,2272,42789
92013368,CRANBURY,150250,1,2576,3293,62859
92013391,CRANBURY,150500,1,1653,2536,36184
92013393,CRANBURY,150500,1,2536,3293,62859
92013395,CRANBURY,150500,1,2568,3293,62859
92013484,CRANBURY,150500,1,1970,2272,42789
92013489,CRANBURY,150500,1,2609,3293,62859
92013491,CRANBURY,150500,1,2609,3293,62859
92013493,CRANBURY,150500,1,0,3198,89544
92013500,CRANBURY,150500,1,2039,2272,42789
92013513,CRANBURY,150500,1,3250,3106,88521
92013515,CRANBURY,140150,1,2601,3293,62859
92013525,CRANBURY,150500,1,3258,3198,89544
92013539,CRANBURY,150500,1,3258,3198,89544
92013561,CRANBURY,150500,1,1694,2626,36184
92013586,CRANBURY,150500,1,4123,3106,57826
92013589,CRANBURY,150500,1,4312,3293,62859
92013593,CRANBURY,150500,1,5534,3106,88521
92013598,CRANBURY,150500,1,3895,2919,54002
92013600,CRANBURY,150500,1,3316,2272,42789
92013624,CRANBURY,150500,1,4332,3293,62859
92013626,CRANBURY,150500,1,4407,3293,62859
92013648,CRANBURY,150500,1,3276,2272,42789
92013658,CRANBURY,150500,1,2986,2029,36184
92013660,CRANBURY,150500,1,5504,3160,88521
92013668,CRANBURY,150500,1,4452,3293,62859
92013670,CRANBURY,150500,1,4669,3169,69644
92013684,CRANBURY,150500,1,4332,3298,62859
92013697,CRANBURY,265250,1,5504,3106,88521
92013709,CRANBURY,150500,1,4342,3293,62859
92013736,CRANBURY,150500,1,4389,3169,69644
92013768,CRANBURY,150500,1,4092,3293,62859
92013771,CRANBURY,151750,1,4412,3292,62859
92013773,CRANBURY,150500,1,4262,3293,62859
92013804,CRANBURY,151750,1,4512,3293,62859
92013806,CRANBURY,150500,1,4629,3169,69644
92013816,CRANBURY,150500,1,4502,3293,62859
92013834,CRANBURY,150500,1,3116,2029,36184
92013837,CRANBURY,150500,1,4432,3293,62859
92013853,CRANBURY,150500,1,3416,2272,42789
92013855,CRANBURY,150500,1,3376,2272,42789
92013858,CRANBURY,150500,1,4213,3106,57826
92013875,CRANBURY,150500,1,4719,3169,69644
92013877,CRANBURY,150500,1,5474,3106,88521
92013907,CRANBURY,150500,1,5364,3106,88521
92013909,CRANBURY,150503,1,3246,2272,42789
92013933,CRANBURY,150500,1,4849,3169,69644
92013959,CRANBURY,150500,1,4492,3272,62859
92013978,CRANBURY,150500,1,5284,3106,88521
92013985,CRANBURY,150500,1,5474,3106,88521
92013997,CRANBURY,150500,1,3396,2272,42789
92014019,CRANBURY,150500,1,3705,2919,54002
92014029,CRANBURY,150500,1,4569,3169,69644
00000051,DUNELLEN,177519,1,3471,1629,20317
00000052,DUNELLEN,186669,1,4276,2110,32038
00000054,DUNELLEN,186669,1,4276,2110,32038
00000055,DUNELLEN,177519,1,3471,1629,20317
00000057,DUNELLEN,186669,1,4076,2110,32038
00000058,DUNELLEN,178019,1,3471,1629,20317
00000059,DUNELLEN,186669,1,4276,2110,32038
00000060,DUNELLEN,177519,1,3471,1629,20317
00000061,DUNELLEN,186669,1,4276,2110,32038
00000063,DUNELLEN,177519,1,3471,1629,20317
00000105,DUNELLEN,186669,1,3976,2110,32038
00000109,DUNELLEN,186669,1,3976,2110,32038
00000113,DUNELLEN,186669,1,3976,2110,32038
00000117,DUNELLEN,186669,1,3976,2110,32038
00000121,DUNELLEN,177919,1,3171,1629,20317
00000125,DUNELLEN,177919,1,3171,1629,20317
00000129,DUNELLEN,177919,1,3171,1629,20317
00000133,DUNELLEN,177919,1,3171,1629,20317
00000207,DUNELLEN,186669,1,3976,2110,32038
00000211,DUNELLEN,186669,1,3976,2110,32038
00000215,DUNELLEN,186669,1,3976,2110,32038
00000219,DUNELLEN,186669,1,3976,2110,32038
00000223,DUNELLEN,177919,1,3171,1629,20317
00000227,DUNELLEN,177919,1,3171,1629,20317
00000231,DUNELLEN,177919,1,3171,1629,20317
00000235,DUNELLEN,177919,1,3171,1629,20317
00000316,DUNELLEN,186669,1,3976,2110,32038
00000320,DUNELLEN,186669,1,3976,2110,32038
00000324,DUNELLEN,186669,1,3976,2110,32038
00000328,DUNELLEN,186669,1,3976,2110,32038
00000332,DUNELLEN,177919,1,3171,1629,20317
00000335,DUNELLEN,177919,1,3171,1629,20317
00000339,DUNELLEN,177919,1,3171,1629,20317
00000343,DUNELLEN,177919,1,3171,1629,20317
00000348,DUNELLEN,1730000,5,22228,20001,180000
00000386,DUNELLEN,131850,1,4112,2738,35000
00000387,DUNELLEN,201574,1,4756,2110,32038
00000388,DUNELLEN,192024,1,3776,1629,20317
00000389,DUNELLEN,201574,1,4756,2110,32038
00000390,DUNELLEN,192024,1,3851,1629,20317
00000391,DUNELLEN,201574,1,4756,2110,32038
00000392,DUNELLEN,192024,1,3851,1629,20317
00000394,DUNELLEN,192524,1,3929,1629,20317
00000395,DUNELLEN,192529,1,3929,1629,20317
00000396,DUNELLEN,201774,1,4831,2110,32038
00000397,DUNELLEN,192524,1,3929,1629,20317
00000398,DUNELLEN,192524,1,3929,1629,20317
00000399,DUNELLEN,201774,1,4831,2110,32038
00000400,DUNELLEN,201774,1,4831,2110,32038
00000401,DUNELLEN,201774,1,4831,2110,32038
00000402,DUNELLEN,201774,1,4831,2110,32038
00000403,DUNELLEN,192524,1,3854,1629,20317
00000404,DUNELLEN,160000,1,1869,1629,20317
00000405,DUNELLEN,192524,1,3929,1629,20317
00000406,DUNELLEN,201774,1,4831,2110,32038
00000408,DUNELLEN,201774,1,4755,2110,32038
00000409,DUNELLEN,192524,1,3851,1629,20317
00000410,DUNELLEN,201774,1,4755,2110,32038
00000411,DUNELLEN,192524,1,3851,1629,20317
00000412,DUNELLEN,201774,1,4755,2110,32038
00000413,DUNELLEN,192524,1,3851,1629,20317
00000414,DUNELLEN,201774,1,4755,2110,32038
00000415,DUNELLEN,192524,1,3851,1629,20317
00000437,DUNELLEN,7375000,42,85211,48580,680903
00000564,DUNELLEN,186569,1,4051,1629,20317
00000587,DUNELLEN,6881000,40,81421,39253,604179
00000593,DUNELLEN,7325000,42,85211,48580,680903
00000594,DUNELLEN,3750000,42,85211,48580,680903
00000608,DUNELLEN,178839,1,4061,2110,32038
00000625,DUNELLEN,19225,1,4061,2110,32038
00000626,DUNELLEN,177419,1,3156,1629,20317
00000627,DUNELLEN,19225,1,4061,2110,32038
00000628,DUNELLEN,10590,1,3156,1629,20317
00000629,DUNELLEN,177419,1,3256,1629,20317
00000631,DUNELLEN,186569,1,3981,2110,32038
00000709,DUNELLEN,7375000,42,86943,48580,680903
97006591,DUNELLEN,7375000,42,93094,48580,680903
97006592,DUNELLEN,7325000,42,93094,48580,680903
97006627,DUNELLEN,131850,1,4112,2738,35000
97006628,DUNELLEN,131850,1,4112,2738,35000
97006678,DUNELLEN,3750000,42,93094,48580,680903
97006707,DUNELLEN,3628750,42,89629,48580,680903
97006728,DUNELLEN,7375000,42,94826,48580,680903
97006729,DUNELLEN,7375000,42,94826,48580,680903
97006853,DUNELLEN,201574,1,4836,2110,32038
97006854,DUNELLEN,192024,1,3844,1629,20317
97006856,DUNELLEN,201574,1,4836,2110,32038
97006857,DUNELLEN,192024,1,3844,1629,20317
97006858,DUNELLEN,201574,1,4836,2110,32038
97006859,DUNELLEN,192024,1,3762,1629,20317
97006860,DUNELLEN,201574,1,4836,2110,32038
97006861,DUNELLEN,192024,1,3844,1629,20317
10010625,EAST BRUNSWICK,454501,1,6545,3556,65000
10011106,EAST BRUNSWICK,110000,1,4405,2360,34251
10011134,EAST BRUNSWICK,147000,1,6651,3029,65553
10011136,EAST BRUNSWICK,452000,1,11762,6566,128632
10011144,EAST BRUNSWICK,230000,1,7321,5942,75336
10011145,EAST BRUNSWICK,230000,1,6747,5297,69301
10011186,EAST BRUNSWICK,128357,1,5290,2079,25410
10011187,EAST BRUNSWICK,126357,1,3881,1764,21616
10011188,EAST BRUNSWICK,126357,1,3881,1764,21616
10011189,EAST BRUNSWICK,126357,1,4220,2079,25410
10011202,EAST BRUNSWICK,128057,1,4227,2079,25410
10011203,EAST BRUNSWICK,126357,1,3121,1764,21616
10011204,EAST BRUNSWICK,126357,1,3161,1764,21616
10011205,EAST BRUNSWICK,126357,1,3395,2079,25410
10011206,EAST BRUNSWICK,128357,1,4227,2079,25410
10011207,EAST BRUNSWICK,126357,1,3151,1764,21616
10011208,EAST BRUNSWICK,126357,1,3121,1764,21616
10011209,EAST BRUNSWICK,126357,1,3395,2079,25410
10011210,EAST BRUNSWICK,128357,1,4227,2079,25410
10011211,EAST BRUNSWICK,126357,1,3121,1764,21616
10011212,EAST BRUNSWICK,126357,1,3121,1764,21616
10011213,EAST BRUNSWICK,126357,1,3395,2079,25410
10011225,EAST BRUNSWICK,55491100,307,508954,241877,3557473
10011231,EAST BRUNSWICK,569500,1,9200,4206,98117
10011261,EAST BRUNSWICK,489800,1,7676,4146,42000
10011282,EAST BRUNSWICK,427002,1,7349,4760,82633
10011531,EAST BRUNSWICK,650000,1,8102,4025,84252
10011573,EAST BRUNSWICK,135000,1,7717,4025,84252
10012515,EAST BRUNSWICK,1617003,40,57700,53215,576409
10012518,EAST BRUNSWICK,3031534,8,25863,14856,163746
10012519,EAST BRUNSWICK,472055,1,6832,3486,63724
